대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화지도),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타(Others)
아프리카주,이집트,여성,22,2,0,6,0,56,0,0,83,0,25,0,0,0,9,1,4,4,2,4,0,0,3,8,0,0,0,15,67,156,0,7,36,143,0,0,0,17
아프리카주,나이지리아,남성,41,1,0,6,0,298,1,0,232,0,48,0,6,1,87,103,34,3,0,30,0,0,4,12,0,20,0,15,20,163,0,32,158,485,0,0,0,407
아프리카주,나이지리아,여성,29,3,0,0,0,23,0,0,110,0,29,0,1,0,10,5,14,0,0,4,0,0,1,5,0,1,0,16,15,264,0,3,1,70,0,0,0,51
아프리카주,모로코,남성,14,1,82,0,0,10,1,0,32,0,16,0,0,0,1,3,2,3,0,2,0,0,4,8,0,1,0,11,9,6,0,14,135,379,0,0,0,112
아프리카주,모로코,여성,17,6,101,0,0,18,0,0,112,0,67,0,0,0,0,0,10,1,1,2,0,0,5,16,0,0,0,33,11,13,0,14,351,176,0,0,0,38
아프리카주,가나,남성,14,8,0,2,0,277,1,0,214,0,20,0,1,0,21,11,39,5,0,17,0,0,5,16,0,30,0,28,17,27,0,7,31,300,0,0,0,148
아프리카주,가나,여성,10,6,0,1,0,23,0,0,45,0,10,0,0,0,3,1,14,0,0,1,0,0,0,4,0,1,0,15,10,37,0,0,1,37,0,0,0,35
아프리카주,에티오피아,남성,9,21,0,3,0,23,0,0,194,0,16,0,3,2,3,0,11,6,0,36,0,0,1,11,0,0,0,6,118,26,0,30,10,258,0,0,0,83
아프리카주,에티오피아,여성,22,18,0,0,0,10,0,0,72,0,4,0,0,0,0,0,4,0,0,6,0,0,1,8,0,0,0,24,82,62,0,10,17,136,0,0,0,40
아프리카주,리비아,남성,29,2,0,0,0,139,0,0,9,0,1,0,1,0,184,10,2,1,0,0,0,0,1,0,0,0,0,5,10,99,0,6,3,155,0,0,0,14
아프리카주,리비아,여성,28,2,0,0,0,6,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,6,9,144,0,5,0,2,0,0,0,1
아프리카주,카메룬,남성,0,2,0,7,0,21,0,0,145,0,10,0,0,0,0,1,47,1,0,6,0,0,0,9,0,0,0,6,19,38,0,7,16,76,0,0,0,123
아프리카주,카메룬,여성,0,0,0,1,0,7,0,0,68,0,6,0,0,0,0,0,15,0,0,3,0,0,3,0,0,0,0,11,14,64,0,1,4,40,0,0,0,77
아프리카주,튀니지,남성,9,1,51,0,0,2,1,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,3,0,3,25,355,0,0,0,23
아프리카주,튀니지,여성,4,1,24,1,0,1,0,0,35,0,11,0,0,0,1,0,6,1,0,4,0,0,1,3,0,0,0,4,1,8,0,4,49,89,0,0,0,13
아프리카주,케냐,남성,13,16,0,4,0,27,1,0,111,0,17,0,5,0,1,0,16,2,0,7,0,0,2,18,0,0,0,2,6,26,3,2,9,73,0,0,0,10
아프리카주,케냐,여성,17,11,0,0,0,18,0,0,67,0,16,0,0,0,1,1,11,0,0,2,0,0,3,11,0,0,0,11,4,18,1,0,6,48,0,0,0,19
아프리카주,우간다,남성,0,2,0,1,0,19,1,0,99,0,28,0,1,0,1,0,14,1,0,5,0,0,0,3,0,0,0,0,17,6,1,0,21,146,0,0,0,43
아프리카주,우간다,여성,0,0,0,0,0,15,0,0,55,0,8,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,4,12,5,0,1,1,60,0,0,0,36
아프리카주,라이베리아,남성,2,8,20,3,0,6,0,0,16,0,10,0,1,0,2,0,6,0,0,1,0,0,0,2,0,0,0,0,4,4,0,1,6,158,0,0,0,142
아프리카주,라이베리아,여성,1,0,4,0,0,6,0,0,9,0,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,70,0,0,0,47
아프리카주,탄자니아,남성,14,3,0,1,0,18,0,0,137,0,14,0,1,0,1,0,7,0,0,0,0,0,0,8,0,0,0,1,1,10,0,2,8,118,0,0,0,11
아프리카주,탄자니아,여성,15,2,0,0,0,6,0,0,53,0,7,0,0,0,0,0,9,1,0,0,0,0,0,2,0,0,0,5,1,9,0,1,2,17,0,0,0,7
아프리카주,알제리,남성,9,1,0,13,0,29,0,0,9,0,10,0,0,0,1,0,1,0,0,4,0,0,0,3,0,1,0,0,3,3,0,8,19,127,0,0,0,83
아프리카주,알제리,여성,9,0,0,0,0,10,0,0,19,0,23,0,0,0,0,0,3,0,0,2,0,0,0,5,0,0,0,3,7,16,0,4,44,19,0,0,0,4
아프리카주,르완다,남성,3,0,0,0,0,3,0,0,120,0,4,0,0,0,0,0,15,1,0,6,0,0,2,8,0,0,0,4,8,13,0,1,0,113,0,0,0,7
