"년월","기관/유형","한국어","영어","일본어","중국어","베트남어","타갈로그어","몽골어","프랑스어","러시아어","우즈벡어","태국어","네팔어","인도네시아어","파키스탄어(우르두어)","아랍어","스페인어","기타언어","합계"
"202411","방문","24","22","2","62","0","42","0","0","7","0","0","0","0","0","0","0","0","159"
"202411","이동상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202411","이메일","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"202411","전화","59","60","3","71","0","93","0","0","40","0","0","0","0","0","0","0","0","326"
"202411","화상상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202410","SNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202410","게시판","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202410","문자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202410","방문","19","20","11","68","0","54","0","0","14","0","0","0","0","0","0","0","0","186"
"202410","이동상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202410","이메일","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"202410","전화","33","57","9","95","0","96","0","0","49","0","0","0","0","0","0","0","0","339"
"202410","화상상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202409","SNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202409","게시판","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202409","문자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202409","방문","16","18","1","41","0","36","0","0","10","0","0","0","0","0","0","0","0","122"
"202409","이동상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202409","이메일","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202409","전화","21","49","8","58","0","114","0","0","25","0","0","0","0","0","0","0","0","275"
"202409","화상상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202408","SNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202408","게시판","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202408","문자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202408","방문","27","33","3","85","0","39","0","0","13","0","0","0","0","0","0","0","0","200"
"202408","이동상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202408","이메일","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202408","전화","25","48","7","67","6","149","0","0","43","0","0","0","0","0","0","0","0","345"
"202408","화상상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202407","SNS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202407","게시판","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202407","문자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202407","방문","14","48","6","94","0","31","0","0","10","0","0","0","0","0","0","0","0","203"
"202407","이동상담","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
