범죄분류,농임수산업,광업,제조업,건설업,도소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,교원(사립),사무원,기술자,점원,공원,운전자,경비원,외판원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,의사,변호사,교수,종교가,언론인,예술인,기타전문직,공무원,군인,학생,주부,무직자,미상
성매매 알선등 행위의 처벌에 관한법률,0,0,0,3,0,0,1,2,27,0,2,1,0,0,0,53,0,0,1,0,1,1,0,0,20,0,69,2,8,344,1,0,0,0,0,0,62,0,0,14,5,256,269
수산자원관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
식품위생법,1,0,0,0,1,5,10,0,7,0,0,0,0,9,0,46,0,0,1,0,0,0,0,0,5,0,13,2,1,21,0,0,0,0,0,0,0,0,0,2,5,37,25
아동·청소년의 성보호에 관한법률(성매수등),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
아동·청소년의 성보호에 관한법률(음란물등),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
아동복지법,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,4,0,0,2,1,4,0,0,1,0,0,0,2,0,0,0,8,22,4
여객자동차 운수사업법,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,6,0
여신전문금융업법,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,5,0,0,2,0,1,1,0,0,4,0,0,5,6,7,0,0,0,0,0,0,2,0,0,3,2,53,30
외국환거래법,0,0,0,0,1,1,3,0,0,1,0,2,0,0,1,32,0,0,0,1,1,0,0,0,19,0,0,1,5,10,0,0,0,0,1,0,1,0,0,1,6,30,104
의료법,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,2,0,11,0,3,183,21,0,0,0,0,0,138,0,0,1,7,50,66
자동차관리법,0,0,2,12,2,3,0,0,1,0,0,0,4,1,0,25,0,0,1,0,5,10,0,0,64,0,0,3,26,36,1,0,0,2,0,0,2,0,0,14,1,53,340
자동차 손해배상 보장법,3,0,7,5,0,7,2,0,2,0,0,0,1,0,0,21,0,0,4,1,15,2,0,0,126,0,0,4,52,72,0,0,0,2,0,0,5,0,1,37,8,123,906
저작권법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
전자금융거래법,2,0,1,1,0,2,2,0,1,0,0,0,0,0,0,13,0,1,1,2,3,0,0,1,21,0,0,4,33,19,0,0,0,1,0,0,3,0,0,17,7,121,74
