지역아이디,상습지역지수합계,상습지역지수평균,다발지역지수,지오메트리
50f913f9-2-20211104180322-156,12.90322581,12.90322581,36,MULTIPOLYGON (((126.848522697971 37.5448363961395,126.848526553646 37.5443857850248,126.849092499748 37.544388886329,126.849088644073 37.5448395393532,126.848522697971 37.5448363961395)))
30f913f9-13-20211104180328-33,16.12903226,16.12903226,12,MULTIPOLYGON (((126.833177109637 37.5519614748433,126.833181049131 37.5515108637286,126.833747162872 37.5515140488518,126.833743055739 37.5519646599665,126.833177109637 37.5519614748433)))
70f913f9-9-20211104180328-49,13.33333333,13.33333333,10,MULTIPOLYGON (((126.835513229871 37.5438625866286,126.835517169365 37.5434119336044,126.836083199287 37.5434151187276,126.836079092154 37.5438657717518,126.835513229871 37.5438625866286)))
c0f913f9-1-20211104180323-36,16.12903226,16.12903226,14,MULTIPOLYGON (((126.832049073108 37.5515044515727,126.832053012602 37.5510537566389,126.832619126343 37.5510570255812,126.832615103029 37.5515076786054,126.832049073108 37.5515044515727)))
f0f913f9-28-20211104180343-475,13.33333333,13.33333333,14,MULTIPOLYGON (((126.814890814393 37.5707849662615,126.814895089164 37.5703343132373,126.815461119085 37.5703375821795,126.815457095772 37.5707882352037,126.814890814393 37.5707849662615)))
a0f913f9-0-20211104180322-67,13.33333333,13.33333333,22,MULTIPOLYGON (((126.835441229323 37.5519742153361,126.835445168817 37.5515236042214,126.836011282558 37.5515267893446,126.836007175425 37.5519774423689,126.835441229323 37.5519742153361)))
b0f913f9-24-20211104180342-167,22.58064516,22.58064516,35,MULTIPOLYGON (((126.851184538962 37.5642299827022,126.851188394637 37.5637792877684,126.851754592197 37.5637823890726,126.851750568883 37.5642330420968,126.851184538962 37.5642299827022)))
10f913f9-27-20211104180343-104,23.33333333,23.33333333,12,MULTIPOLYGON (((126.840175914969 37.5285658647905,126.840179938283 37.5281152117663,126.840745716747 37.52811835498,126.840741861072 37.5285690080042,126.840175914969 37.5285658647905)))
10f913f9-29-20211104180344-24,70.96774194,70.96774194,22,MULTIPOLYGON (((126.830193655021 37.5690700707813,126.830197594515 37.5686194596666,126.830763875894 37.5686226447898,126.830759768761 37.5690733397236,126.830193655021 37.5690700707813)))
20f913f9-1-20211104180323-183,13.33333333,13.33333333,10,MULTIPOLYGON (((126.850275353925 37.5385366834414,126.850279293419 37.5380860304172,126.850845071883 37.5380890898118,126.850841300027 37.5385397847456,126.850275353925 37.5385366834414)))
f0f913f9-29-20211104180344-466,29.03225806,29.03225806,10,MULTIPOLYGON (((126.81313027945 37.5775347452506,126.813134470402 37.5770841341359,126.813700584142 37.5770874449877,126.813696560829 37.5775380561024,126.81313027945 37.5775347452506)))
d0f913f9-4-20211104180323-87,10.71428571,10.71428571,10,MULTIPOLYGON (((126.838454439695 37.5312602694758,126.838458546828 37.530809574542,126.839024325292 37.5308127596652,126.839020385798 37.531263454599,126.838454439695 37.5312602694758)))
